,Sex,Age,SibSp,Parch,Fare,has_cabin?,2,3,Q,S
221,0,27.0,0,0,13.0,0,1,0,0,1
725,0,20.0,0,0,8.6625,0,0,1,0,1
682,0,20.0,0,0,9.225,0,0,1,0,1
502,1,29.69911764705882,0,0,7.6292,0,0,1,1,0
491,0,21.0,0,0,7.25,0,0,1,0,1
359,1,29.69911764705882,0,0,7.8792,0,0,1,1,0
603,0,44.0,0,0,8.05,0,0,1,0,1
165,0,9.0,0,2,20.525,0,0,1,0,1
284,0,29.69911764705882,0,0,26.0,1,0,0,0,1
80,0,22.0,0,0,9.0,0,0,1,0,1
227,0,20.5,0,0,7.25,0,0,1,0,1
353,0,25.0,1,0,17.8,0,0,1,0,1
310,1,24.0,0,0,83.1583,1,0,0,0,0
259,1,50.0,0,1,26.0,0,1,0,0,1
323,1,22.0,1,1,29.0,0,1,0,0,1
9,1,14.0,1,0,30.0708,0,1,0,0,0
604,0,35.0,0,0,26.55,0,0,0,0,0
555,0,62.0,0,0,26.55,0,0,0,0,1
699,0,42.0,0,0,7.65,1,0,1,0,1
179,0,36.0,0,0,0.0,0,0,1,0,1
27,0,19.0,3,2,263.0,1,0,0,0,1
718,0,29.69911764705882,0,0,15.5,0,0,1,1,0
855,1,18.0,0,1,9.35,0,0,1,0,1
361,0,29.0,1,0,27.7208,0,1,0,0,0
293,1,24.0,0,0,8.85,0,0,1,0,1
745,0,70.0,1,1,71.0,1,0,0,0,1
5,0,29.69911764705882,0,0,8.4583,0,0,1,1,0
197,0,42.0,0,1,8.4042,0,0,1,0,1
700,1,18.0,1,0,227.525,1,0,0,0,0
698,0,49.0,1,1,110.8833,1,0,0,0,0
782,0,29.0,0,0,30.0,1,0,0,0,1
261,0,3.0,4,2,31.3875,0,0,1,0,1
447,0,34.0,0,0,26.55,0,0,0,0,1
122,0,32.5,1,0,30.0708,0,1,0,0,0
755,0,0.67,1,1,14.5,0,1,0,0,1
501,1,21.0,0,0,7.75,0,0,1,1,0
38,1,18.0,2,0,18.0,0,0,1,0,1
358,1,29.69911764705882,0,0,7.8792,0,0,1,1,0
763,1,36.0,1,2,120.0,1,0,0,0,1
334,1,29.69911764705882,1,0,133.65,0,0,0,0,1
455,0,29.0,0,0,7.8958,0,0,1,0,0
517,0,29.69911764705882,0,0,24.15,0,0,1,1,0
162,0,26.0,0,0,7.775,0,0,1,0,1
67,0,19.0,0,0,8.1583,0,0,1,0,1
124,0,54.0,0,1,77.2875,1,0,0,0,1
39,1,14.0,1,0,11.2417,0,0,1,0,0
4,0,35.0,0,0,8.05,0,0,1,0,1
33,0,66.0,0,0,10.5,0,1,0,0,1
601,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
403,0,28.0,1,0,15.85,0,0,1,0,1
701,0,35.0,0,0,26.2875,1,0,0,0,1
335,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
280,0,65.0,0,0,7.75,0,0,1,1,0
618,1,4.0,2,1,39.0,1,1,0,0,1
99,0,34.0,1,0,26.0,0,1,0,0,1
805,0,31.0,0,0,7.775,0,0,1,0,1
670,1,40.0,1,1,39.0,0,1,0,0,1
236,0,44.0,1,0,26.0,0,1,0,0,1
853,1,16.0,0,1,39.4,1,0,0,0,1
552,0,29.69911764705882,0,0,7.8292,0,0,1,1,0
679,0,36.0,0,1,512.3292,1,0,0,0,0
457,1,29.69911764705882,1,0,51.8625,1,0,0,0,1
472,1,33.0,1,2,27.75,0,1,0,0,1
495,0,29.69911764705882,0,0,14.4583,0,0,1,0,0
519,0,32.0,0,0,7.8958,0,0,1,0,1
667,0,29.69911764705882,0,0,7.775,0,0,1,0,1
810,0,26.0,0,0,7.8875,0,0,1,0,1
399,1,28.0,0,0,12.65,0,1,0,0,1
839,0,29.69911764705882,0,0,29.7,1,0,0,0,0
428,0,29.69911764705882,0,0,7.75,0,0,1,1,0
352,0,15.0,1,1,7.2292,0,0,1,0,0
587,0,60.0,1,1,79.2,1,0,0,0,0
746,0,16.0,1,1,20.25,0,0,1,0,1
12,0,20.0,0,0,8.05,0,0,1,0,1
186,1,29.69911764705882,1,0,15.5,0,0,1,1,0
602,0,29.69911764705882,0,0,42.4,0,0,0,0,1
608,1,22.0,1,2,41.5792,0,1,0,0,0
434,0,50.0,1,0,55.9,1,0,0,0,1
809,1,33.0,1,0,53.1,1,0,0,0,1
374,1,3.0,3,1,21.075,0,0,1,0,1
260,0,29.69911764705882,0,0,7.75,0,0,1,1,0
483,1,63.0,0,0,9.5875,0,0,1,0,1
333,0,16.0,2,0,18.0,0,0,1,0,1
153,0,40.5,0,2,14.5,0,0,1,0,1
396,1,31.0,0,0,7.8542,0,0,1,0,1
612,1,29.69911764705882,1,0,15.5,0,0,1,1,0
304,0,29.69911764705882,0,0,8.05,0,0,1,0,1
200,0,28.0,0,0,9.5,0,0,1,0,1
394,1,24.0,0,2,16.7,1,0,1,0,1
851,0,74.0,0,0,7.775,0,0,1,0,1
373,0,22.0,0,0,135.6333,0,0,0,0,0
523,1,44.0,0,1,57.9792,1,0,0,0,0
78,0,0.83,0,2,29.0,0,1,0,0,1
312,1,26.0,1,1,26.0,0,1,0,0,1
808,0,39.0,0,0,13.0,0,1,0,0,1
436,1,21.0,2,2,34.375,0,0,1,0,1
647,0,56.0,0,0,35.5,1,0,0,0,0
42,0,29.69911764705882,0,0,7.8958,0,0,1,0,0
837,0,29.69911764705882,0,0,8.05,0,0,1,0,1
133,1,29.0,1,0,26.0,0,1,0,0,1
540,1,36.0,0,2,71.0,1,0,0,0,1
389,1,17.0,0,0,12.0,0,1,0,0,0
459,0,29.69911764705882,0,0,7.75,0,0,1,1,0
669,1,29.69911764705882,1,0,52.0,1,0,0,0,1
723,0,50.0,0,0,13.0,0,1,0,0,1
579,0,32.0,0,0,7.925,0,0,1,0,1
250,0,29.69911764705882,0,0,7.25,0,0,1,0,1
884,0,25.0,0,0,7.05,0,0,1,0,1
864,0,24.0,0,0,13.0,0,1,0,0,1
482,0,50.0,0,0,8.05,0,0,1,0,1
192,1,19.0,1,0,7.8542,0,0,1,0,1
220,0,16.0,0,0,8.05,0,0,1,0,1
592,0,47.0,0,0,7.25,0,0,1,0,1
607,0,27.0,0,0,30.5,0,0,0,0,1
544,0,50.0,1,0,106.425,1,0,0,0,0
432,1,42.0,1,0,26.0,0,1,0,0,1
531,0,29.69911764705882,0,0,7.2292,0,0,1,0,0
666,0,25.0,0,0,13.0,0,1,0,0,1
30,0,40.0,0,0,27.7208,0,0,0,0,0
661,0,40.0,0,0,7.225,0,0,1,0,0
638,1,41.0,0,5,39.6875,0,0,1,0,1
445,0,4.0,0,2,81.8583,1,0,0,0,1
395,0,22.0,0,0,7.7958,0,0,1,0,1
157,0,30.0,0,0,8.05,0,0,1,0,1
636,0,32.0,0,0,7.925,0,0,1,0,1
272,1,41.0,0,1,19.5,0,1,0,0,1
781,1,17.0,1,0,57.0,1,0,0,0,1
858,1,24.0,0,3,19.2583,0,0,1,0,0
814,0,30.5,0,0,8.05,0,0,1,0,1
306,1,29.69911764705882,0,0,110.8833,0,0,0,0,0
377,0,27.0,0,2,211.5,1,0,0,0,0
672,0,70.0,0,0,10.5,0,1,0,0,1
102,0,21.0,0,1,77.2875,1,0,0,0,1
52,1,49.0,1,0,76.7292,1,0,0,0,0
727,1,29.69911764705882,0,0,7.7375,0,0,1,1,0
156,1,16.0,0,0,7.7333,0,0,1,1,0
283,0,19.0,0,0,8.05,0,0,1,0,1
402,1,21.0,1,0,9.825,0,0,1,0,1
537,1,30.0,0,0,106.425,0,0,0,0,0
560,0,29.69911764705882,0,0,7.75,0,0,1,1,0
97,0,23.0,0,1,63.3583,1,0,0,0,0
567,1,29.0,0,4,21.075,0,0,1,0,1
128,1,29.69911764705882,1,1,22.3583,1,0,1,0,0
378,0,20.0,0,0,4.0125,0,0,1,0,0
486,1,35.0,1,0,90.0,1,0,0,0,1
177,1,50.0,0,0,28.7125,1,0,0,0,0
347,1,29.69911764705882,1,0,16.1,0,0,1,0,1
110,0,47.0,0,0,52.0,1,0,0,0,1
663,0,36.0,0,0,7.4958,0,0,1,0,1
379,0,19.0,0,0,7.775,0,0,1,0,1
191,0,19.0,0,0,13.0,0,1,0,0,1
419,1,10.0,0,2,24.15,0,0,1,0,1
203,0,45.5,0,0,7.225,0,0,1,0,0
343,0,25.0,0,0,13.0,0,1,0,0,1
641,1,24.0,0,0,69.3,1,0,0,0,0
716,1,38.0,0,0,227.525,1,0,0,0,0
697,1,29.69911764705882,0,0,7.7333,0,0,1,1,0
488,0,30.0,0,0,8.05,0,0,1,0,1
237,1,8.0,0,2,26.25,0,1,0,0,1
400,0,39.0,0,0,7.925,0,0,1,0,1
232,0,59.0,0,0,13.5,0,1,0,0,1
442,0,25.0,1,0,7.775,0,0,1,0,1
98,1,34.0,0,1,23.0,0,1,0,0,1
779,1,43.0,0,1,211.3375,1,0,0,0,1
873,0,47.0,0,0,9.0,0,0,1,0,1
511,0,29.69911764705882,0,0,8.05,0,0,1,0,1
546,1,19.0,1,0,26.0,0,1,0,0,1
217,0,42.0,1,0,27.0,0,1,0,0,1
360,0,40.0,1,4,27.9,0,0,1,0,1
650,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
857,0,51.0,0,0,26.55,1,0,0,0,1
225,0,22.0,0,0,9.35,0,0,1,0,1
18,1,31.0,1,0,18.0,0,0,1,0,1
168,0,29.69911764705882,0,0,25.925,0,0,0,0,1
292,0,36.0,0,0,12.875,1,1,0,0,0
541,1,9.0,4,2,31.275,0,0,1,0,1
397,0,46.0,0,0,26.0,0,1,0,0,1
328,1,31.0,1,1,20.525,0,0,1,0,1
685,0,25.0,1,2,41.5792,0,1,0,0,0
559,1,36.0,1,0,17.4,0,0,1,0,1
93,0,26.0,1,2,20.575,0,0,1,0,1
213,0,30.0,0,0,13.0,0,1,0,0,1
337,1,41.0,0,0,134.5,1,0,0,0,0
425,0,29.69911764705882,0,0,7.25,0,0,1,0,1
711,0,29.69911764705882,0,0,26.55,1,0,0,0,1
115,0,21.0,0,0,7.925,0,0,1,0,1
158,0,29.69911764705882,0,0,8.6625,0,0,1,0,1
883,0,28.0,0,0,10.5,0,1,0,0,1
112,0,22.0,0,0,8.05,0,0,1,0,1
36,0,29.69911764705882,0,0,7.2292,0,0,1,0,0
105,0,28.0,0,0,7.8958,0,0,1,0,1
362,1,45.0,0,1,14.4542,0,0,1,0,0
365,0,30.0,0,0,7.25,0,0,1,0,1
441,0,20.0,0,0,9.5,0,0,1,0,1
351,0,29.69911764705882,0,0,35.0,1,0,0,0,1
870,0,26.0,0,0,7.8958,0,0,1,0,1
249,0,54.0,1,0,26.0,0,1,0,0,1
756,0,28.0,0,0,7.7958,0,0,1,0,1
705,0,39.0,0,0,26.0,0,1,0,0,1
406,0,51.0,0,0,7.75,0,0,1,0,1
759,1,33.0,0,0,86.5,1,0,0,0,1
164,0,1.0,4,1,39.6875,0,0,1,0,1
780,1,13.0,0,0,7.2292,0,0,1,0,0
720,1,6.0,0,1,33.0,0,1,0,0,1
735,0,28.5,0,0,16.1,0,0,1,0,1
83,0,28.0,0,0,47.1,0,0,0,0,1
856,1,45.0,1,1,164.8667,0,0,0,0,1
295,0,29.69911764705882,0,0,27.7208,0,0,0,0,0
70,0,32.0,0,0,10.5,0,1,0,0,1
590,0,35.0,0,0,7.125,0,0,1,0,1
825,0,29.69911764705882,0,0,6.95,0,0,1,1,0
768,0,29.69911764705882,1,0,24.15,0,0,1,1,0
577,1,39.0,1,0,55.9,1,0,0,0,1
127,0,24.0,0,0,7.1417,0,0,1,0,1
747,1,30.0,0,0,13.0,0,1,0,0,1
1,1,38.0,1,0,71.2833,1,0,0,0,0
582,0,54.0,0,0,26.0,0,1,0,0,1
539,1,22.0,0,2,49.5,1,0,0,0,0
308,0,30.0,1,0,24.0,0,1,0,0,0
410,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
171,0,4.0,4,1,29.125,0,0,1,1,0
417,1,18.0,0,2,13.0,0,1,0,0,1
673,0,31.0,0,0,13.0,0,1,0,0,1
460,0,48.0,0,0,26.55,1,0,0,0,1
770,0,24.0,0,0,9.5,0,0,1,0,1
423,1,28.0,1,1,14.4,0,0,1,0,1
315,1,26.0,0,0,7.8542,0,0,1,0,1
376,1,22.0,0,0,7.25,0,0,1,0,1
524,0,29.69911764705882,0,0,7.2292,0,0,1,0,0
786,1,18.0,0,0,7.4958,0,0,1,0,1
438,0,64.0,1,4,263.0,1,0,0,0,1
651,1,18.0,0,1,23.0,0,1,0,0,1
150,0,51.0,0,0,12.525,0,1,0,0,1
890,0,32.0,0,0,7.75,0,0,1,1,0
556,1,48.0,1,0,39.6,1,0,0,0,0
776,0,29.69911764705882,0,0,7.75,1,0,1,1,0
409,1,29.69911764705882,3,1,25.4667,0,0,1,0,1
143,0,19.0,0,0,6.75,0,0,1,1,0
526,1,50.0,0,0,10.5,0,1,0,0,1
764,0,16.0,0,0,7.775,0,0,1,0,1
881,0,33.0,0,0,7.8958,0,0,1,0,1
734,0,23.0,0,0,13.0,0,1,0,0,1
208,1,16.0,0,0,7.75,0,0,1,1,0
440,1,45.0,1,1,26.25,0,1,0,0,1
131,0,20.0,0,0,7.05,0,0,1,0,1
380,1,42.0,0,0,227.525,0,0,0,0,0
174,0,56.0,0,0,30.6958,1,0,0,0,0
533,1,29.69911764705882,0,2,22.3583,0,0,1,0,0
270,0,29.69911764705882,0,0,31.0,0,0,0,0,1
407,0,3.0,1,1,18.75,0,1,0,0,1
631,0,51.0,0,0,7.0542,0,0,1,0,1
123,1,32.5,0,0,13.0,1,1,0,0,1
138,0,16.0,0,0,9.2167,0,0,1,0,1
51,0,21.0,0,0,7.8,0,0,1,0,1
275,1,63.0,1,0,77.9583,1,0,0,0,1
863,1,29.69911764705882,8,2,69.55,0,0,1,0,1
342,0,28.0,0,0,13.0,0,1,0,0,1
256,1,29.69911764705882,0,0,79.2,0,0,0,0,0
182,0,9.0,4,2,31.3875,0,0,1,0,1
617,1,26.0,1,0,16.1,0,0,1,0,1
300,1,29.69911764705882,0,0,7.75,0,0,1,1,0
675,0,18.0,0,0,7.775,0,0,1,0,1
240,1,29.69911764705882,1,0,14.4542,0,0,1,0,0
230,1,35.0,1,0,83.475,1,0,0,0,1
326,0,61.0,0,0,6.2375,0,0,1,0,1
458,1,50.0,0,0,10.5,0,1,0,0,1
465,0,38.0,0,0,7.05,0,0,1,0,1
163,0,17.0,0,0,8.6625,0,0,1,0,1
167,1,45.0,1,4,27.9,0,0,1,0,1
145,0,19.0,1,1,36.75,0,1,0,0,1
206,0,32.0,1,0,15.85,0,0,1,0,1
500,0,17.0,0,0,8.6625,0,0,1,0,1
188,0,40.0,1,1,15.5,0,0,1,1,0
324,0,29.69911764705882,8,2,69.55,0,0,1,0,1
754,1,48.0,1,2,65.0,0,1,0,0,1
798,0,30.0,0,0,7.2292,0,0,1,0,0
575,0,19.0,0,0,14.5,0,0,1,0,1
79,1,30.0,0,0,12.475,0,0,1,0,1
717,1,27.0,0,0,10.5,1,1,0,0,1
806,0,39.0,0,0,0.0,1,0,0,0,1
799,1,30.0,1,1,24.15,0,0,1,0,1
229,1,29.69911764705882,3,1,25.4667,0,0,1,0,1
687,0,19.0,0,0,10.1708,0,0,1,0,1
100,1,28.0,0,0,7.8958,0,0,1,0,1
290,1,26.0,0,0,78.85,0,0,0,0,1
444,0,29.69911764705882,0,0,8.1125,0,0,1,0,1
846,0,29.69911764705882,8,2,69.55,0,0,1,0,1
53,1,29.0,1,0,26.0,0,1,0,0,1
391,0,21.0,0,0,7.7958,0,0,1,0,1
861,0,21.0,1,0,11.5,0,1,0,0,1
889,0,26.0,0,0,30.0,1,0,0,0,0
251,1,29.0,1,1,10.4625,1,0,1,0,1
499,0,24.0,0,0,7.7958,0,0,1,0,1
475,0,29.69911764705882,0,0,52.0,1,0,0,0,1
271,0,25.0,0,0,0.0,0,0,1,0,1
44,1,19.0,0,0,7.8792,0,0,1,1,0
113,1,20.0,1,0,9.825,0,0,1,0,1
24,1,8.0,3,1,21.075,0,0,1,0,1
211,1,35.0,0,0,21.0,0,1,0,0,1
620,0,27.0,1,0,14.4542,0,0,1,0,0
169,0,28.0,0,0,56.4958,0,0,1,0,1
591,1,52.0,1,0,78.2667,1,0,0,0,0
867,0,31.0,0,0,50.4958,1,0,0,0,1
596,1,29.69911764705882,0,0,33.0,0,1,0,0,1
520,1,30.0,0,0,93.5,1,0,0,0,1
32,1,29.69911764705882,0,0,7.75,0,0,1,1,0
611,0,29.69911764705882,0,0,7.05,0,0,1,0,1
109,1,29.69911764705882,1,0,24.15,0,0,1,1,0
136,1,19.0,0,2,26.2833,1,0,0,0,1
330,1,29.69911764705882,2,0,23.25,0,0,1,1,0
222,0,51.0,0,0,8.05,0,0,1,0,1
28,1,29.69911764705882,0,0,7.8792,0,0,1,1,0
287,0,22.0,0,0,7.8958,0,0,1,0,1
55,0,29.69911764705882,0,0,35.5,1,0,0,0,1
869,0,4.0,1,1,11.1333,0,0,1,0,1
785,0,25.0,0,0,7.25,0,0,1,0,1
804,0,27.0,0,0,6.975,0,0,1,0,1
48,0,29.69911764705882,2,0,21.6792,0,0,1,0,0
807,1,18.0,0,0,7.775,0,0,1,0,1
872,0,33.0,0,0,5.0,1,0,0,0,1
642,1,2.0,3,2,27.9,0,0,1,0,1
545,0,64.0,0,0,26.0,0,0,0,0,1
477,0,29.0,1,0,7.0458,0,0,1,0,1
547,0,29.69911764705882,0,0,13.8625,0,1,0,0,0
63,0,4.0,3,2,27.9,0,0,1,0,1
413,0,29.69911764705882,0,0,0.0,0,1,0,0,1
384,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
836,0,21.0,0,0,8.6625,0,0,1,0,1
322,1,30.0,0,0,12.35,0,1,0,1,0
451,0,29.69911764705882,1,0,19.9667,0,0,1,0,1
691,1,4.0,0,1,13.4167,0,0,1,0,0
234,0,24.0,0,0,10.5,0,1,0,0,1
656,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
557,0,29.69911764705882,0,0,227.525,0,0,0,0,0
462,0,47.0,0,0,38.5,1,0,0,0,1
424,0,18.0,1,1,20.2125,0,0,1,0,1
784,0,25.0,0,0,7.05,0,0,1,0,1
303,1,29.69911764705882,0,0,12.35,1,1,0,1,0
787,0,8.0,4,1,29.125,0,0,1,1,0
689,1,15.0,0,1,211.3375,1,0,0,0,1
219,0,30.0,0,0,10.5,0,1,0,0,1
783,0,29.69911764705882,1,2,23.45,0,0,1,0,1
296,0,23.5,0,0,7.2292,0,0,1,0,0
21,0,34.0,0,0,13.0,1,1,0,0,1
420,0,29.69911764705882,0,0,7.8958,0,0,1,0,0
325,1,36.0,0,0,135.6333,1,0,0,0,0
199,1,24.0,0,0,13.0,0,1,0,0,1
450,0,36.0,1,2,27.75,0,1,0,0,1
137,0,37.0,1,0,53.1,1,0,0,0,1
536,0,45.0,0,0,26.55,1,0,0,0,1
696,0,44.0,0,0,8.05,0,0,1,0,1
646,0,19.0,0,0,7.8958,0,0,1,0,1
628,0,26.0,0,0,7.8958,0,0,1,0,1
212,0,22.0,0,0,7.25,0,0,1,0,1
860,0,41.0,2,0,14.1083,0,0,1,0,1
835,1,39.0,1,1,83.1583,1,0,0,0,0
823,1,27.0,0,1,12.475,1,0,1,0,1
505,0,18.0,1,0,108.9,1,0,0,0,0
722,0,34.0,0,0,13.0,0,1,0,0,1
231,0,29.0,0,0,7.775,0,0,1,0,1
405,0,34.0,1,0,21.0,0,1,0,0,1
568,0,29.69911764705882,0,0,7.2292,0,0,1,0,0
317,0,54.0,0,0,14.0,0,1,0,0,1
183,0,1.0,2,1,39.0,1,1,0,0,1
762,0,20.0,0,0,7.2292,0,0,1,0,0
760,0,29.69911764705882,0,0,14.5,0,0,1,0,1
693,0,25.0,0,0,7.225,0,0,1,0,0
609,1,40.0,0,0,153.4625,1,0,0,0,1
626,0,57.0,0,0,12.35,0,1,0,1,0
485,1,29.69911764705882,3,1,25.4667,0,0,1,0,1
278,0,7.0,4,1,29.125,0,0,1,1,0
630,0,80.0,0,0,30.0,1,0,0,0,1
20,0,35.0,0,0,26.0,0,1,0,0,1
170,0,61.0,0,0,33.5,1,0,0,0,1
401,0,26.0,0,0,8.05,0,0,1,0,1
826,0,29.69911764705882,0,0,56.4958,0,0,1,0,1
566,0,19.0,0,0,7.8958,0,0,1,0,1
176,0,29.69911764705882,3,1,25.4667,0,0,1,0,1
327,1,36.0,0,0,13.0,1,1,0,0,1
706,1,45.0,0,0,13.5,0,1,0,0,1
198,1,29.69911764705882,0,0,7.75,0,0,1,1,0
470,0,29.69911764705882,0,0,7.25,0,0,1,0,1
880,1,25.0,0,1,26.0,0,1,0,0,1
694,0,60.0,0,0,26.55,0,0,0,0,1
266,0,16.0,4,1,39.6875,0,0,1,0,1
615,1,24.0,1,2,65.0,0,1,0,0,1
732,0,29.69911764705882,0,0,0.0,0,1,0,0,1
492,0,55.0,0,0,30.5,1,0,0,0,1
130,0,33.0,0,0,7.8958,0,0,1,0,0
338,0,45.0,0,0,8.05,0,0,1,0,1
758,0,34.0,0,0,8.05,0,0,1,0,1
489,0,9.0,1,1,15.9,0,0,1,0,1
572,0,36.0,0,0,26.3875,1,0,0,0,1
606,0,30.0,0,0,7.8958,0,0,1,0,1
193,0,3.0,1,1,26.0,1,1,0,0,1
140,1,29.69911764705882,0,2,15.2458,0,0,1,0,0
416,1,34.0,1,1,32.5,0,1,0,0,1
660,0,50.0,2,0,133.65,0,0,0,0,1
476,0,34.0,1,0,21.0,0,1,0,0,1
714,0,52.0,0,0,13.0,0,1,0,0,1
152,0,55.5,0,0,8.05,0,0,1,0,1
801,1,31.0,1,1,26.25,0,1,0,0,1
10,1,4.0,1,1,16.7,1,0,1,0,1
269,1,35.0,0,0,135.6333,1,0,0,0,1
96,0,71.0,0,0,34.6542,1,0,0,0,0
210,0,24.0,0,0,7.05,0,0,1,0,1
879,1,56.0,0,1,83.1583,1,0,0,0,0
752,0,33.0,0,0,9.5,0,0,1,0,1
569,0,32.0,0,0,7.8542,0,0,1,0,1
548,0,33.0,1,1,20.525,0,0,1,0,1
843,0,34.5,0,0,6.4375,0,0,1,0,0
532,0,17.0,1,1,7.2292,0,0,1,0,0
834,0,18.0,0,0,8.3,0,0,1,0,1
332,0,38.0,0,1,153.4625,1,0,0,0,1
75,0,25.0,0,0,7.65,1,0,1,0,1
712,0,48.0,1,0,52.0,1,0,0,0,1
77,0,29.69911764705882,0,0,8.05,0,0,1,0,1
263,0,40.0,0,0,0.0,1,0,0,0,1
886,0,27.0,0,0,13.0,0,1,0,0,1
149,0,42.0,0,0,13.0,0,1,0,0,1
833,0,23.0,0,0,7.8542,0,0,1,0,1
514,0,24.0,0,0,7.4958,0,0,1,0,1
840,0,20.0,0,0,7.925,0,0,1,0,1
